# SPDX-FileCopyrightText: Copyright (c) 2026 NVIDIA CORPORATION & AFFILIATES. All rights reserved.
# SPDX-License-Identifier: Apache-2.0
combo,n_prompts,lpips_low5,lpips_mean7,lpips_top2,gen_sec_mean
NVFP4_s1_t065_d097,7,0.442583,0.505249,0.661913,367.715
NVFP4_s1_t065_d100,7,0.460958,0.516995,0.657087,360.860
NVFP4_s1_t070_d086,7,0.441448,0.506175,0.667992,373.590
NVFP4_s1_t070_d090,7,0.441067,0.505404,0.666245,370.207
NVFP4_s1_t070_d094,7,0.441924,0.505380,0.664020,362.720
NVFP4_s1_t070_d097,7,0.442498,0.505233,0.662068,357.155
NVFP4_s1_t070_d100,7,0.463964,0.520603,0.662199,355.141
NVFP4_s1_t075_d000,7,0.439938,0.505681,0.670037,409.717
NVFP4_s1_t075_d086,7,0.443876,0.507574,0.666818,369.548
NVFP4_s1_t075_d090,7,0.446253,0.508576,0.664383,360.139
NVFP4_s1_t075_d094,7,0.443792,0.507205,0.665738,355.814
NVFP4_s1_t075_d097,7,0.447290,0.508719,0.662294,352.288
NVFP4_s1_t075_d100,7,0.468065,0.523382,0.661673,348.037
baseline_eager,7,0.000000,0.000000,0.000000,627.079
